job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
MathWorks:37107,MathWorks,National Institute of Technology Silchar MATLAB Ambassador,IN-Bangalore; Bangalore; IN,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37107-national-institute-of-technology-silchar-matlab-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37107
MathWorks:36399,MathWorks,New York University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/36399-new-york-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36399
MathWorks:36187,MathWorks,Oil & Gas Market Development,US-TX-Plano; Plano; United States,Industry Marketing,https://www.mathworks.com/company/jobs/opportunities/36187-oil-gas-market-development.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36187
MathWorks:37096,MathWorks,Onboarding Customer Success Specialist (French speaking),IE-Galway; Galway; IE,Customer Success,https://www.mathworks.com/company/jobs/opportunities/37096-onboarding-customer-success-specialist-french-speaking.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37096
MathWorks:36765,MathWorks,Oregon State University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/36765-oregon-state-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36765
MathWorks:37071,MathWorks,Penn State University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37071-penn-state-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37071
MathWorks:37366,MathWorks,Plaksha University MATLAB Student Ambassador,IN-Bangalore; Bangalore; IN,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37366-plaksha-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37366
MathWorks:37188,MathWorks,Principal C++ Software Engineer,US-MA-Natick; Natick; United States,Product Development,https://www.mathworks.com/company/jobs/opportunities/37188-principal-c-software-engineer.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37188
MathWorks:37014,MathWorks,Principal Cloud Software Engineer,US-MA-Natick; Natick; United States,Web Applications and Services,https://www.mathworks.com/company/jobs/opportunities/37014-principal-cloud-software-engineer.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37014
MathWorks:37259,MathWorks,Principal HR Learning & Development,US-MA-Natick; Natick; United States,Human Resources,https://www.mathworks.com/company/jobs/opportunities/37259-principal-hr-learning-development.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37259
